,pop,zip,city,I_mean,I_median,I_stdev,I_rank,state,B_num,H_slope
44,363,76207,Denton,89462,300000,57943,13198,KY,0.0,4072.9642857142835
45,171,64601,Chillicothe,64389,60040,47459,8618,PA,0.0,5055.749999999998
46,506,82007,Cheyenne,45079,300000,33184,23485,WI,0.0,9024.714285714284
47,103,77031,Houston,57067,57194,28744,5775,OH,0.0,9062.464285714284
48,646,76126,Fort Worth,94271,75656,60948,27956,KY,0.0,1024.035714285714
49,324,91606,North Hollywood,54091,41169,48898,31216,TX,0.0,2697.321428571428
50,15,99554,Alakanuk,40008,33347,32543,9367,WA,0.0,60139.67857142856
51,99,86305,Prescott,65618,44963,61616,7771,MO,2.0,11504.249999999998
52,668,88201,Roswell,53390,44919,44125,27718,NE,0.0,4353.142857142856
53,459,85750,Tucson,102169,78342,76414,26457,IL,0.0,620.892857142857
54,105,92313,Grand Terrace,80656,74816,47877,1964,TX,0.0,10278.642857142855
55,15,78072,Tilden,64871,47274,61311,10351,IN,0.0,11726.678571428569
56,443,85029,Phoenix,34711,24672,30892,16984,IL,3.0,-2194.6428571428564
57,45,80444,Georgetown,58245,40442,50347,28699,IA,0.0,2436.9642857142853
58,1308,63130,University City,59029,32945,71591,18615,NY,0.0,4837.749999999999
59,168,72114,North Little Rock,25890,14822,22427,13175,FL,2.0,7950.749999999998
60,161,78361,Hebbronville,0,0,0,3919,IN,0.0,3036.178571428571
61,936,58201,Grand Forks,73163,64856,56629,7673,MA,0.0,9678.321428571428
62,41,75431,Como,43397,33635,38641,20320,MS,0.0,1769.2857142857135
63,1635,77386,Spring,86460,58424,69787,9353,OH,1.0,4009.3214285714275
64,879,95632,Galt,77828,70105,44171,32244,NM,0.0,5729.357142857141
65,59,66088,Valley Falls,50130,37097,41374,29627,DE,0.0,6574.321428571428
66,432,72110,Morrilton,55086,35612,56743,7843,FL,0.0,10959.678571428569
67,119,95446,Guerneville,61728,42655,58596,32143,NM,2.0,6957.714285714285
68,4439,99324,College Place,57827,45234,41597,24699,OR,0.0,19071.78571428571
69,213,77701,Beaumont,38366,25785,41026,13840,OH,0.0,5427.857142857141
70,95397,92335,Fontana,46656,38447,37658,4057,TX,0.0,9741.821428571428
71,183,98390,Bonney Lake,92410,83054,58188,32800,CA,5.0,13155.035714285712
72,83,80132,Monument,137560,300000,65916,25059,IA,1.0,6693.964285714284
73,45,66783,Yates Center,46310,33343,42485,2315,MD,0.0,6847.749999999999
74,213,75844,Grapeland,37940,25559,36116,27522,KY,0.0,886.8214285714283
75,26533,77015,Houston,32531,24095,24778,9990,OH,1.0,1219.9642857142853
76,18,73017,Cement,47216,41268,37033,28279,FL,0.0,4938.535714285713
77,257,64468,Maryville,29267,25143,23039,31903,PA,0.0,2334.4642857142853
78,132,68776,So Sioux City,61922,56986,44351,10863,WV,0.0,1288.6071428571427
79,434,63080,Sullivan,23270,300000,15166,33145,NY,0.0,5475.142857142856
80,242,99517,Anchorage,128395,300000,72292,2406,WA,0.0,29932.0
81,1051,75022,Flower Mound,131280,125217,68211,3686,MS,0.0,2135.7499999999995
82,576,63128,St Louis,87424,70661,68151,14765,NY,0.0,7861.035714285714
83,266,87021,Milan,38374,28900,27825,9163,MO,0.0,11510.035714285712
84,77,81657,Vail,86272,68860,66772,23574,WI,2.0,8526.285714285712
85,182,71241,Farmerville,38268,16580,54477,16664,GA,0.0,15181.85714285714
86,602,98275,Mukilteo,75654,55385,57730,27181,CA,5.0,17772.17857142857
87,39,81413,Cedaredge,47248,37122,51215,13385,WI,0.0,12214.285714285712
88,784,74006,Bartlesville,52114,42175,40669,8884,AL,0.0,966.1071428571428
89,357,93514,Bishop,91625,84997,51673,24172,CO,0.0,8977.464285714286
90,4,65339,Malta Bend,43010,34091,30716,4874,PA,0.0,10523.17857142857
91,875,68135,Omaha,115611,120549,70367,7483,VA,1.0,2983.1071428571427
92,293,73020,Choctaw,79890,68529,50105,26622,FL,0.0,-10823.142857142855
93,143,61822,Champaign,130016,120068,74716,12924,NY,1.0,-4284.821428571427
94,658,94025,Menlo Park,62949,43769,51224,26170,WY,2.0,34127.214285714275
95,11,72351,Keiser,39381,32307,29775,5427,FL,0.0,26130.499999999996
96,552,68456,Utica,78264,67249,57007,26933,WV,0.0,-1444.4999999999998
97,26,67524,Chase,41026,34605,26714,28454,VA,0.0,4229.892857142857
98,335,60443,Matteson,55648,54460,38432,1635,CT,0.0,6097.928571428571
99,3922,66536,St Marys,61708,48969,52026,23220,MD,0.0,8382.499999999998
100,1,88330,Alamogordo,53619,45183,35516,26145,NE,0.0,1801.8928571428567
101,952,90650,Norwalk,79170,300000,46580,5776,TX,0.0,14710.035714285708
102,16,65258,Holliday,47841,41188,33802,30222,PA,0.0,1190.178571428571
103,1482,70659,Rosepine,70300,50866,54187,14333,SC,0.0,10321.321428571428
104,369,85541,Payson,53625,300000,30475,21078,IL,0.0,993.4285714285712
105,279,74020,Cleveland,56027,48193,43163,11219,AL,0.0,1640.392857142857
106,2008,78247,San Antonio,77717,67513,57611,22546,IN,5.0,6678.571428571427
107,0,84734,Hanksville,58989,46599,47329,17841,IL,0.0,1916.4999999999995
108,27,85605,Bowie,35045,32050,24950,27783,IL,0.0,3336.9642857142853
109,9,68767,Pierce,58264,54860,37658,18417,WV,0.0,2943.3571428571427
110,648,80218,Denver,37060,32114,37504,31903,IA,4.0,4565.92857142857
111,796,94062,Redwood City,104360,84689,73531,5280,ID,2.0,16347.249999999995
112,60,96755,Kapaau,67079,57108,48694,11911,CA,0.0,13498.892857142859
113,4,80742,New Raymer,56190,300000,44062,31843,IA,0.0,2532.857142857142
114,1312,76522,Copperas Cove,62806,51368,46837,10963,OH,0.0,15274.607142857143
115,812,71270,Ruston,69877,61090,59137,15973,GA,0.0,2655.7499999999995
116,381,90703,Cerritos,106789,96089,69002,14326,TX,3.0,6470.392857142857
117,35600,77429,Cypress,93413,70037,64588,17163,OH,1.0,9327.714285714283
118,733,95111,San Jose,98209,300000,60460,26739,AZ,0.0,16605.64285714285
119,34,65486,Iberia,57251,55508,35588,9051,PA,0.0,3183.0714285714284
120,142,94108,San Francisco,103341,56013,94813,16095,ID,1.0,25092.821428571424
121,1483,72443,Marmaduke,40121,31094,36474,2639,FL,0.0,-5877.499999999998
122,210,70043,Chalmette,57199,45354,46702,13105,NC,0.0,4191.892857142856
123,634,90278,Redondo Beach,109016,300000,58288,19546,OK,3.0,4779.5
124,963,68025,Fremont,54164,41183,56245,29726,VA,0.0,3109.464285714285
125,20,71259,Mangham,56112,34855,57336,8454,GA,0.0,12282.249999999998
126,527,92029,Escondido,138272,133900,65204,8991,TX,8.0,9650.428571428569
127,572,93065,Simi Valley,113504,104198,60656,31043,TX,1.0,3173.0714285714284
128,71,90755,Signal Hill,48159,36506,43395,13673,TX,1.0,11821.071428571426
129,1775,77506,Pasadena,43857,27462,45309,2811,OH,0.0,9292.821428571426
130,135,78643,Llano,51569,36632,43887,29964,IN,0.0,574.7857142857142
131,1800,85338,Goodyear,57663,50646,31240,23485,IL,1.0,5671.642857142857
132,7,65068,Prairie Home,71771,59591,49750,5084,PA,0.0,7117.571428571426
133,399,60564,Naperville,112363,111528,69666,3831,NJ,0.0,10630.321428571426
134,968,65326,Edwards,42610,39925,35470,6421,PA,0.0,9430.535714285712
135,35,65063,New Bloomfield,58456,34238,46232,7118,PA,0.0,2633.3928571428564
136,26,79839,Fort Hancock,36517,23755,41184,17129,MI,0.0,5682.3214285714275
137,74,71327,Cottonport,50913,30173,52047,10395,GA,0.0,7377.749999999999
138,996,94118,San Francisco,75731,63551,64992,24321,ID,2.0,8459.357142857141
139,233,85634,Sells,58579,11622,79050,14356,IL,0.0,1546.4285714285713
140,327,97479,Sutherlin,46039,35981,35520,7963,CA,0.0,84444.53571428568
141,41,70339,Pierre Part,73405,70344,47937,7582,SC,0.0,4663.071428571428
142,1115,76053,Hurst,72595,58261,48268,24798,KY,2.0,569.1785714285713
143,162,65616,Branson,45554,33217,43338,29228,PA,2.0,4959.607142857143
144,889,60076,Skokie,93632,103192,69946,21867,VT,0.0,4427.821428571427
145,481,80501,Longmont,89326,73955,63803,14888,IA,20.0,5248.714285714285
146,27,62644,Havana,85932,82549,56583,5335,NY,0.0,14697.249999999998
147,7,65635,Dadeville,49572,43025,38597,31843,PA,0.0,9158.178571428569
148,133,85623,Oracle,80766,72414,52480,27759,IL,0.0,4885.749999999999
149,76,99672,Sterling,81749,70749,59378,28646,WA,0.0,22421.285714285714
150,282,68164,Omaha,42405,42215,29379,28297,VA,0.0,7227.25
151,25,88026,Central,54657,39986,41192,21184,NE,0.0,5605.285714285712
152,12,74880,Weleetka,20639,11911,21641,18276,TN,0.0,7723.035714285712
153,330,77068,Houston,107641,90546,74971,1140,OH,0.0,9168.071428571426
154,13,60113,Creston,42823,26084,38170,2790,CT,0.0,5822.9642857142835
155,15963,85215,Mesa,99691,300000,62209,26065,IL,1.0,1879.9642857142858
156,81,66043,Lansing,62894,300000,42747,420,DE,0.0,8908.571428571426
157,213,84720,Cedar City,52513,40639,46127,13869,IL,0.0,3861.464285714285
158,1394,77041,Houston,74589,63897,55688,8093,OH,2.0,12376.285714285712
159,407,76544,Ft Hood,40894,37095,14927,6310,OH,0.0,9050.964285714284
160,30,59468,Power,71920,60066,52497,17179,ME,0.0,6311.9642857142835
161,166,85307,Glendale,57968,54131,33485,15591,IL,0.0,2118.9642857142853
162,16491,77024,Houston,169670,300000,84592,816,OH,4.0,6991.607142857141
163,82,67550,Larned,35428,28973,27954,13946,VA,0.0,9588.821428571426
164,1224,98375,Puyallup,92900,300000,38681,14821,CA,0.0,15881.25
165,313,90057,Los Angeles,34427,22191,31842,29024,OK,1.0,3535.4999999999995
166,214,78664,Round Rock,87364,300000,34651,10879,IN,3.0,7031.178571428569
167,31,89178,Las Vegas,97198,87597,49990,19967,AR,1.0,1698.1071428571424
168,2575,97007,Beaverton,61661,57686,34804,2758,CA,1.0,31022.857142857138
169,77,62080,Ramsey,49262,45387,31866,496,NY,0.0,18977.499999999993
170,60,62964,Mounds,31895,19422,33290,29203,NY,0.0,3600.642857142857
171,285,93940,Monterey,54390,38489,50629,17289,WY,7.0,5305.714285714285
172,6334,78578,Port Isabel,56017,39579,50982,29203,IN,0.0,3381.749999999999
173,251,92655,Midway City,74240,59181,56407,3735,TX,0.0,56206.249999999985
174,240,92543,Hemet,45372,41268,33640,12529,TX,0.0,14373.607142857141
175,435,98004,Bellevue,172496,300000,84829,1794,CA,1.0,59043.75
176,203,75159,Seagoville,0,0,0,2792,MS,0.0,669.9285714285712
177,176,90038,Los Angeles,58909,47458,47588,23314,OK,0.0,2925.5357142857138
178,239,94941,Mill Valley,103111,76513,82645,1098,AZ,1.0,9374.678571428569
179,23,68765,Osmond,45140,300000,26297,28904,WV,0.0,3094.6428571428564
180,294,70433,Covington,62965,38315,59536,15054,SC,5.0,9976.928571428569
181,613,80516,Erie,114046,104075,64531,16520,IA,5.0,5445.785714285714
182,108,96020,Chester,105321,76530,81893,3519,CA,0.0,77718.14285714284
183,972,96002,Redding,68310,50401,57863,16223,CA,3.0,59672.178571428565
184,1111,90303,Inglewood,91096,80697,58117,5444,OK,0.0,1672.4642857142856
185,296,90601,Whittier,88766,78658,62006,7585,OK,0.0,3589.8928571428564
186,1387,80229,Thornton,86664,300000,42500,31903,IA,2.0,3362.892857142856
187,39,63876,Senath,41909,28822,39158,8406,PA,0.0,4511.035714285714
188,1112,90605,Whittier,153156,300000,78923,9070,OK,0.0,2228.107142857142
189,157,86025,Holbrook,34976,29443,26478,25703,MO,0.0,4125.107142857141
190,7296,89044,Henderson,76781,64716,60815,16658,LA,2.0,3101.1428571428564
191,20,66512,Meriden,63083,300000,41145,20856,MD,0.0,6977.392857142856
192,1911,90033,Los Angeles,44291,300000,49724,23992,OK,0.0,5952.607142857142
193,770,77586,Seabrook,91699,76593,67322,980,OH,1.0,5746.107142857142
194,288,97415,Brookings,55962,53781,41429,4111,CA,2.0,16339.214285714283
195,40,73128,Oklahoma City,76414,68493,44537,5930,FL,1.0,11219.464285714283
196,184,98498,Lakewood,104069,300000,69968,8656,CA,0.0,20422.999999999996
197,153,65043,Holts Summit,56917,50098,39616,11147,PA,0.0,7964.964285714283
198,312,62801,Centralia,58752,52426,51187,26202,NY,1.0,5518.285714285713
199,26,72928,Branch,52530,42909,40886,7811,FL,0.0,12283.964285714286
200,1264,64111,Kansas City,109759,113568,75460,32888,PA,5.0,2721.8214285714284
201,5490,78065,Poteet,66643,53502,52199,2182,IN,0.0,11584.17857142857
202,105,74030,Drumright,50263,36529,44113,21410,AL,0.0,2703.999999999999
203,267,97914,Ontario,44076,38511,39030,19283,CA,2.0,39323.214285714275
204,30940,59801,Missoula,27713,21111,33668,22529,VT,6.0,3033.8928571428564
205,1191,67801,Dodge City,60174,47596,50077,4191,VA,0.0,8604.642857142855
206,29,71763,Sparkman,38731,26016,33105,8803,FL,0.0,12041.785714285708
207,723,95215,Stockton,45384,38763,31249,18993,AZ,2.0,11386.821428571428
208,180,93532,Lake Hughes,71766,58354,52970,28904,CO,0.0,13892.67857142857
209,437,72103,Mabelvale,33569,24654,26514,460,FL,0.0,11315.928571428569
210,6,60968,Thawville,55922,41661,46858,10888,NJ,0.0,6099.249999999998
211,140,62863,Mount Carmel,54200,42943,41257,22726,NY,0.0,2324.714285714285
212,92,77335,Goodrich,49023,36850,38293,17843,OH,0.0,4786.821428571427
213,130,89029,Laughlin,29412,17687,39411,25477,LA,2.0,2183.714285714286
214,118,75495,Van Alstyne,0,0,0,5360,KY,0.0,9712.571428571426
215,309,90723,Paramount,55116,45286,41505,6020,TX,0.0,14762.357142857141
216,103,95377,Tracy,107099,104691,56790,20170,NM,0.0,7002.857142857142
217,140,79316,Brownfield,62488,55787,46740,8694,MI,0.0,5756.035714285713
218,91,64831,Anderson,47658,35626,45835,13562,PA,0.0,5041.642857142856
219,1256,61847,Gifford,69910,58969,46551,7295,NY,0.0,9496.214285714284
220,27,85936,St Johns,47256,37626,37955,4134,MO,0.0,8208.464285714284
221,234,72736,Gravette,63848,40361,54925,6710,FL,0.0,13820.25
222,87,96749,Keaau,45882,29121,42973,18615,CA,1.0,2985.8214285714275
223,53,63841,Dexter,32498,24819,37170,10463,PA,0.0,7651.142857142856
224,12390,85621,Nogales,59894,51629,43441,27582,IL,0.0,1535.6428571428567
225,16173,79707,Midland,91855,300000,47895,2753,MI,0.0,17245.714285714283
226,228,67701,Colby,56476,44228,52770,32062,VA,0.0,1810.321428571428
227,67,71129,Shreveport,65350,53589,52215,21270,GA,0.0,4032.607142857142
228,28,63332,Augusta,115014,300000,65547,33275,NY,5.0,5468.714285714284
229,18,64481,Ridgeway,54321,37530,57409,15707,PA,0.0,4506.607142857142
230,1725,72712,Bentonville,39761,34063,30863,6012,FL,3.0,25187.857142857138
231,85,66725,Columbus,45774,37463,31777,4240,MD,0.0,9918.714285714283
232,371,72104,Malvern,36459,31107,24361,6897,FL,0.0,11383.928571428569
233,771,85648,Rio Rico,62745,44272,40548,6621,IL,0.0,3001.3214285714275
234,52,74022,Copan,54937,50434,30456,14612,AL,0.0,3026.857142857142
235,1455,98118,Seattle,106421,300000,63386,1474,CA,5.0,25325.64285714285
236,35,62439,Lawrenceville,63465,300000,33215,25071,NY,0.0,6821.535714285714
237,201,80241,Thornton,122174,300000,60547,30132,IA,0.0,6067.75
238,116,77465,Palacios,47085,300000,19045,14292,OH,0.0,2859.607142857142
239,171,80504,Firestone,91927,83544,51869,15190,IA,7.0,2507.714285714285
240,167,75840,Fairfield,56589,33567,55211,24363,KY,0.0,2733.321428571428
241,732,89406,Fallon,36705,25300,30864,29878,AR,0.0,1828.535714285714
242,73,59417,Browning,40058,22919,42195,12844,ME,0.0,13961.821428571426
243,1946,70763,Paulina,85140,69993,59578,25332,SC,0.0,8990.285714285712
244,69,86054,Shonto,40332,26019,40116,27981,MO,0.0,5688.142857142856
245,95,62681,Rushville,50938,42878,31200,17871,NY,0.0,15069.249999999998
246,1065,97212,Portland,68613,55601,53795,11235,CA,3.0,12982.142857142855
247,615,70764,Plaquemine,56501,43118,47680,20649,SC,0.0,4121.928571428571
248,345,75068,Little Elm,62843,42947,55024,14423,MS,0.0,1959.4285714285709
249,1164,92555,Moreno Valley,73411,67699,42562,6876,TX,0.0,13785.571428571426
250,90,61231,Aledo,54015,46321,42342,5470,NJ,0.0,9062.107142857141
251,63,96025,Dunsmuir,45774,42739,30334,115,CA,0.0,36719.964285714275
252,137,94519,Concord,68231,300000,52766,25381,UT,0.0,19081.357142857138
253,25,63945,Harviell,56951,49140,41698,7424,PA,0.0,10725.964285714284
254,515,92844,Garden Grove,66778,55347,62206,5085,TX,0.0,5101.714285714285
255,257,94949,Novato,105244,103640,63777,991,AZ,5.0,18358.749999999996
256,392,60108,Bloomingdale,74580,65615,48719,13494,CT,0.0,5176.749999999999
257,421,61107,Rockford,103650,300000,68848,24523,NJ,2.0,10103.107142857141
258,19309,77539,Dickinson,65376,53483,56144,4852,OH,4.0,8409.607142857141
259,281,96022,Cottonwood,62102,64100,38001,4692,CA,0.0,56920.392857142855
260,14,65689,Cabool,39448,25337,37226,5638,PA,0.0,11029.785714285714
261,363,98204,Everett,46614,39404,34430,29111,CA,1.0,10873.321428571426
262,37,83427,Iona,71862,65230,44400,13834,SD,0.0,6627.892857142857
263,486,78154,Schertz,0,0,0,1491,IN,1.0,9188.892857142855
264,144,65065,Osage Beach,50634,300000,32439,2052,PA,0.0,6542.821428571427
265,80,93440,Los Alamos,95071,83543,55853,13036,CO,1.0,23653.857142857138
266,27,78390,Taft,80574,75885,47332,25929,IN,0.0,7606.142857142854
267,16,80540,Lyons,111546,96888,77402,20244,IA,1.0,2281.2857142857138
268,24,81152,San Luis,33165,24693,28067,6203,WI,0.0,13124.392857142857
269,159,63390,Wright City,77244,61597,60205,28756,NY,0.0,6755.035714285714
270,289,84405,Ogden,66012,300000,56899,10849,IL,1.0,12614.85714285714
271,151,65705,Marionville,47570,38020,39132,12978,PA,0.0,11551.178571428569
272,5,98640,Ocean Park,38013,33080,27390,28394,CA,0.0,6057.892857142856
273,54,68118,Omaha,94652,88711,49965,24830,VA,0.0,4902.178571428571
274,146,65360,Windsor,46051,38796,25517,23021,PA,0.0,10344.321428571426
275,19,99361,Waitsburg,57262,46473,52105,20286,OR,1.0,19250.357142857138
276,748,91202,Glendale,125819,113952,88892,17944,TX,0.0,17951.249999999996
277,2,74643,Lamont,55023,51812,28979,10616,TN,0.0,1361.8571428571427
278,47,75414,Bells,59187,46459,48501,19225,MS,0.0,2750.7499999999995
279,49,76255,Nocona,48949,30371,55932,27981,KY,0.0,3462.821428571428
280,48,61842,Farmer City,63679,54483,48817,14327,NY,0.0,15459.428571428567
281,18,67038,Dexter,47779,40626,39042,20798,MD,0.0,9669.392857142855
282,138,99723,Barrow,94285,78124,70054,14142,WA,0.0,52896.07142857141
283,536,99202,Spokane,52810,52186,39060,30271,OR,11.0,24096.499999999993
284,7,58218,Buxton,71647,61196,51085,27395,MA,0.0,6096.857142857142
285,339,85015,Phoenix,37367,19895,38402,21227,IL,0.0,3509.7142857142853
286,88,62675,Petersburg,53457,42906,37442,18917,NY,0.0,15436.999999999996
287,505,65109,Jefferson City,51698,43160,41985,13894,PA,0.0,10928.964285714284
288,734,97801,Pendleton,72079,300000,41981,4192,CA,0.0,28536.999999999996
289,276,74105,Tulsa,148597,158286,89639,17663,TN,1.0,13876.03571428571
290,215,85323,Avondale,36663,44190,27720,29228,IL,3.0,3696.857142857142
291,300,75076,Pottsboro,67215,52427,56226,4948,MS,0.0,2195.107142857142
292,253,92106,San Diego,104682,300000,86215,4088,TX,6.0,8621.92857142857
293,244,98662,Vancouver,65701,53650,46748,24523,CA,2.0,36887.892857142855
294,39,77660,Spurger,69271,69740,44421,6880,OH,0.0,10722.535714285712
295,782,60653,Chicago,74365,58519,50977,11324,NJ,0.0,10339.857142857141
296,316,76550,Lampasas,52217,39685,45830,1963,OH,0.0,15020.642857142851
297,238,94597,Walnut Creek,128326,126675,61370,20872,UT,0.0,5758.821428571428
298,8570,80212,Denver,73822,300000,63106,8252,IA,7.0,7875.392857142855
299,1694,84340,Willard,78134,72060,51410,452,IL,0.0,10587.892857142855
300,854,60559,Westmont,78247,300000,61460,15524,NJ,4.0,-4218.214285714285
301,107,97875,Stanfield,54343,51022,36453,9773,CA,0.0,27096.107142857138
302,21,86039,Kykotsmovi,38972,33678,38997,9397,MO,0.0,5899.785714285714
303,481,75019,Coppell,134081,300000,73275,13647,MS,2.0,3339.2857142857133
304,541,85226,Chandler,107971,104211,67693,19661,IL,8.0,3017.8214285714284
305,188,79007,Borger,53250,50417,34166,9528,MI,0.0,11723.142857142853
306,32,95636,Grizzly Flat,80195,32216,83414,31421,NM,0.0,14734.857142857143
307,428,97814,Baker City,42124,39253,34465,5028,CA,0.0,41459.249999999985
308,1276,94523,Pleasant Hill,86662,71177,61994,29401,UT,1.0,24051.92857142856
309,46,76670,Milford,59457,48965,39944,16617,OH,0.0,5250.785714285713
310,226,66109,Kansas City,78290,81485,43779,12021,DE,1.0,8658.035714285714
311,682,95242,Lodi,104709,81008,78255,23419,NM,11.0,4619.642857142856
312,473,95973,Chico,125693,300000,78110,32928,NV,5.0,6191.0
313,286,76065,Midlothian,91531,88290,48640,27039,KY,0.0,1911.8928571428567
314,65,78559,La Feria,45117,300000,3434,30341,IN,0.0,2813.392857142857
315,1484,92127,San Diego,139590,134011,76896,31348,TX,7.0,5151.428571428571
316,294,77656,Silsbee,20637,10416,22774,8470,OH,0.0,8669.28571428571
317,6,65754,Spokane,64958,300000,15730,2780,PA,0.0,17212.5
318,122,79821,Anthony,0,0,0,21505,MI,0.0,6186.821428571427
319,20,99140,Keller,34573,20511,34164,11594,OR,0.0,21648.928571428565
320,1013,63119,St Louis,64232,51763,53148,14427,NY,1.0,5571.321428571427
321,47,97396,Willamina,26070,20406,20225,22605,CA,0.0,17515.642857142855
322,388,77708,Beaumont,50471,300000,32954,27916,OH,0.0,6973.857142857143
323,395,63107,St Louis,31074,21207,30024,18246,NY,0.0,13389.607142857141
324,18703,98310,Bremerton,73602,69831,50705,14327,CA,4.0,19500.142857142855
325,234,63552,Macon,29459,19781,22934,22660,NY,0.0,8446.821428571426
326,44,73645,Erick,62745,96500,52371,5950,AL,0.0,6547.821428571428
327,611,65251,Fulton,71552,53193,56705,14431,PA,0.0,6478.285714285712
328,439,65742,Rogersville,91903,73685,68353,528,PA,0.0,12026.321428571426
329,146,83110,Afton,71699,57848,53132,19426,SD,0.0,9278.428571428567
330,9,93251,Mckittrick,64762,38492,59874,3418,CO,0.0,27314.14285714285
331,465,92506,Riverside,100620,84009,75750,22314,TX,0.0,4520.0
332,941,77063,Houston,130142,300000,60205,12267,OH,0.0,9736.571428571428
333,366,68521,Lincoln,98976,300000,47182,19900,WV,3.0,3971.749999999999
334,35,84525,Green River,49032,39301,39814,25315,IL,0.0,3332.821428571428
335,465,79601,Abilene,87258,300000,64948,16019,MI,1.0,9573.85714285714
336,68,72641,Jasper,44172,22379,58370,5516,FL,0.0,18000.60714285714
337,260,71667,Star City,50728,34703,44792,17587,GA,0.0,6458.10714285714
338,248,99207,Spokane,34912,28251,18454,29795,OR,2.0,13095.499999999995
339,150,75656,Hughes Springs,39838,25329,40126,16651,KY,0.0,2872.6785714285706
340,748,91356,Tarzana,53763,44404,44441,5413,TX,1.0,5360.607142857142
341,365,69101,North Platte,52641,300000,52042,28067,WV,0.0,-1116.4999999999998
342,326,76247,Justin,106433,300000,54816,21854,KY,2.0,2344.821428571428
343,519,60067,Palatine,80919,300000,61814,24798,VT,3.0,2277.928571428571
344,593,66604,Topeka,57096,51300,36647,17232,MD,0.0,10095.428571428569
345,87,84526,Helper,52411,47182,32680,9747,IL,1.0,4430.964285714285
346,70,67002,Andover,63761,50237,49027,32143,MD,0.0,7156.714285714285
347,1,87014,Cubero,38751,33055,33714,849,MO,0.0,7037.785714285713
348,41,59088,Worden,25041,15163,27016,12209,NH,0.0,10364.857142857141
349,4,81223,Cotopaxi,37500,300000,1826,17929,WI,0.0,12085.035714285712
